Gruppe: Florian Wolf, Julian Weigert


Notenschnitte 

Analysis 2: 2.83
Lineare Algebra 2: 3.18
Numerik: 2.81


Klausurergebnisse 

Matrikel-Nr. AII     BII       Numerik    Durchschnitt
  503045     3.30    2.30       1.00          2.20 
  554521     1.00    1.00       2.00          1.33 
  589610     2.30    2.70       5.00          3.33 
  519921     1.30    4.00       3.30          2.87 
  546512     5.00    3.70       4.00          4.23 
  534513     5.00    5.00       4.00          4.67 
  509011     1.70    3.00       1.30          2.00 
  508762     4.00    2.30       1.00          2.43 
  498812     3.70    2.70       1.30          2.57 
  534128     3.30    5.00       3.30          3.87 
  511325     1.30    1.00       2.00          1.43 
  498967     2.00    2.30       3.30          2.53 
  529234     3.30    3.70       1.70          2.90 
  505678     2.30    5.00       4.00          3.77 
  555874     3.00    4.00       5.00          4.00 
