Gruppe: Florian Wolf, Julian Weigert

Exponentialfunktion

  t     f(t)
 -5.000 0.0019304541
 -4.900 0.0021861244
 -4.800 0.0024725630
 -4.700 0.0027930391
 -4.600 0.0031511116
 -4.500 0.0035506486
 -4.400 0.0039958458
 -4.300 0.0044912465
 -4.200 0.0050417603
 -4.100 0.0056526829
 -4.000 0.0063297154
 -3.900 0.0070789832
 -3.800 0.0079070541
 -3.700 0.0088209562
 -3.600 0.0098281948
 -3.500 0.0109367675
 -3.400 0.0121551783
 -3.300 0.0134924501
 -3.200 0.0149581347
 -3.100 0.0165623207
 -3.000 0.0183156389
 -2.900 0.0202292642
 -2.800 0.0223149148
 -2.700 0.0245848470
 -2.600 0.0270518469
 -2.500 0.0297292164
 -2.400 0.0326307560
 -2.300 0.0357707414
 -2.200 0.0391638951
 -2.100 0.0428253527
 -2.000 0.0467706224
 -1.900 0.0510155393
 -1.800 0.0555762126
 -1.700 0.0604689663
 -1.600 0.0657102732
 -1.500 0.0713166827
 -1.400 0.0773047404
 -1.300 0.0836909024
 -1.200 0.0904914417
 -1.100 0.0977223485
 -1.000 0.1053992246
 -0.900 0.1135371708
 -0.800 0.1221506695
 -0.700 0.1312534621
 -0.600 0.1408584209
 -0.500 0.1509774185
 -0.400 0.1616211925
 -0.300 0.1727992090
 -0.200 0.1845195240
 -0.100 0.1967886439
 0.000 0.2096113872
 0.100 0.2229907474
 0.200 0.2369277587
 0.300 0.2514213656
 0.400 0.2664682978
 0.500 0.2820629517
 0.600 0.2981972794
 0.700 0.3148606875
 0.800 0.3320399453
 0.900 0.3497191064
 1.000 0.3678794412
 1.100 0.3864993858
 1.200 0.4055545051
 1.300 0.4250174721
 1.400 0.4448580662
 1.500 0.4650431881
 1.600 0.4855368952
 1.700 0.5063004557
 1.800 0.5272924240
 1.900 0.5484687360
 2.000 0.5697828247
 2.100 0.5911857578
 2.200 0.6126263942
 2.300 0.6340515619
 2.400 0.6554062543
 2.500 0.6766338462
 2.600 0.6976763261
 2.700 0.7184745465
 2.800 0.7389684883
 2.900 0.7590975390
 3.000 0.7788007831
 3.100 0.7980173021
 3.200 0.8166864826
 3.300 0.8347483306
 3.400 0.8521437890
 3.500 0.8688150563
 3.600 0.8847059049
 3.700 0.8997619956
 3.800 0.9139311853
 3.900 0.9271638278
 4.000 0.9394130628
 4.100 0.9506350919
 4.200 0.9607894392
 4.300 0.9698391946
 4.400 0.9777512372
 4.500 0.9844964370
 4.600 0.9900498337
 4.700 0.9943907907
 4.800 0.9975031224
 4.900 0.9993751953
 5.000 1.0000000000
